id,package,version,asset,count_2022_07_28,count_2022_07_29,count_2022_07_30,count_2022_07_31,count_2022_08_01,count_2022_08_02,count_2022_08_03,count_2022_08_04,count_2022_08_05,count_2022_08_06,count_2022_08_07,count_2022_08_08,count_2022_08_09,count_2022_08_10,count_2022_08_11,count_2022_08_12,count_2022_08_13,count_2022_08_14,count_2022_08_15,count_2022_08_16,count_2022_08_17,count_2022_08_18,count_2022_08_19,count_2022_08_20,count_2022_08_21,count_2022_08_22,count_2022_08_23,count_2022_08_24,count_2022_08_25,count_2022_08_26,count_2022_08_27,count_2022_08_28,count_2022_08_29,count_2022_08_30,count_2022_08_31,count_2022_09_01,count_2022_09_02,count_2022_09_03,count_2022_09_04,count_2022_09_05,count_2022_09_06,count_2022_09_07,count_2022_09_08,count_2022_09_09,count_2022_09_10,count_2022_09_11,count_2022_09_12,count_2022_09_13,count_2022_09_14,count_2022_09_15,count_2022_09_16,count_2022_09_17,count_2022_09_18,count_2022_09_19,count_2022_09_20,count_2022_09_21,count_2022_09_22,count_2022_09_23,count_2022_09_24,count_2022_09_25,count_2022_09_26,count_2022_09_27,count_2022_09_28,count_2022_09_29,count_2022_09_30,count_2022_10_01,count_2022_10_02,count_2022_10_03,count_2022_10_04,count_2022_10_05,count_2022_10_06,count_2022_10_07,count_2022_10_08,count_2022_10_09,count_2022_10_10,count_2022_10_11,count_2022_10_12,count_2022_10_13,count_2022_10_14,count_2022_10_15,count_2022_10_16,count_2022_10_17,count_2022_10_18,count_2022_10_19,count_2022_10_20,count_2022_10_21,count_2022_10_22,count_2022_10_23,count_2022_10_24,count_2022_10_25,count_2022_10_26,count_2022_10_27,count_2022_10_28,count_2022_10_29,count_2022_10_30,count_2022_10_31,count_2022_11_01,count_2022_11_02,count_2022_11_03,count_2022_11_04,count_2022_11_05,count_2022_11_06,count_2022_11_07,count_2022_11_08,count_2022_11_09,count_2022_11_10,count_2022_11_11,count_2022_11_12,count_2022_11_13,count_2022_11_14,count_2022_11_15,count_2022_11_16,count_2022_11_17,count_2022_11_18,count_2022_11_19,count_2022_11_20,count_2022_11_21,count_2022_11_22,count_2022_11_23,count_2022_11_24,count_2022_11_25,count_2022_11_26,count_2022_11_27,count_2022_11_28,count_2022_11_29,count_2022_11_30,count_2022_12_01,count_2022_12_02,count_2022_12_03,count_2022_12_04,count_2022_12_05,count_2022_12_06,count_2022_12_07,count_2022_12_08,count_2022_12_09,count_2022_12_10,count_2022_12_11,count_2022_12_12,count_2022_12_13,count_2022_12_14,count_2022_12_15,count_2022_12_16,count_2022_12_17,count_2022_12_18,count_2022_12_19,count_2022_12_20,count_2022_12_21,count_2022_12_22,count_2022_12_23,count_2022_12_24,count_2022_12_25,count_2022_12_26,count_2022_12_27,count_2022_12_28,count_2022_12_29,count_2022_12_30,count_2022_12_31,count_2023_01_01,count_2023_01_02,count_2023_01_03,count_2023_01_04,count_2023_01_05,count_2023_01_06,count_2023_01_07,count_2023_01_08,count_2023_01_09,count_2023_01_10,count_2023_01_11,count_2023_01_12,count_2023_01_13,count_2023_01_14,count_2023_01_15,count_2023_01_16,count_2023_01_17,count_2023_01_18,count_2023_01_19,count_2023_01_20,count_2023_01_21,count_2023_01_22,count_2023_01_23,count_2023_01_24,count_2023_01_26,count_2023_01_27,count_2023_01_28,count_2023_01_29,count_2023_01_30,count_2023_01_31,count_2023_02_01,count_2023_02_02,count_2023_02_03,count_2023_02_04,count_2023_02_05,count_2023_02_06,count_2023_02_07,count_2023_02_08,count_2023_02_09,count_2023_02_10,count_2023_02_11,count_2023_02_12,count_2023_02_13,count_2023_02_14,count_2023_02_15,count_2023_02_16,count_2023_02_17,count_2023_02_18,count_2023_02_19,count_2023_02_20,count_2023_02_21,count_2023_02_22,count_2023_02_23,count_2023_02_24,count_2023_02_25,count_2023_02_26,count_2023_02_27,count_2023_02_28,count_2023_03_01,count_2023_03_02,count_2023_03_03,count_2023_03_04,count_2023_03_05,count_2023_03_07,count_2023_03_08,count_2023_03_10,count_2023_03_11,count_2023_03_12,count_2023_03_13,count_2023_03_14,count_2023_03_15,count_2023_03_16,count_2023_03_17,count_2023_03_18,count_2023_03_19,count_2023_03_20,count_2023_03_21,count_2023_03_22,count_2023_03_23,count_2023_03_24,count_2023_03_25,count_2023_03_26,count_2023_03_27,count_2023_03_28,count_2023_03_29,count_2023_03_30,count_2023_03_31,count_2023_04_01,count_2023_04_02,count_2023_04_03,count_2023_04_04,count_2023_04_05,count_2023_04_06,count_2023_04_07,count_2023_04_08,count_2023_04_09,count_2023_04_10,count_2023_04_11
ngsolve_20220723-003123_d05c8ae_ngsolve-install.tar.gz,ngsolve,20220723-003123 d05c8ae,ngsolve-install.tar.gz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ngsolve_20220716-201357_d05c8ae_ngsolve-install.tar.gz,ngsolve,20220716-201357 d05c8ae,ngsolve-install.tar.gz,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
mock_20220723-003122_d05c8ae_mock-install.tar.gz,mock,20220723-003122 d05c8ae,mock-install.tar.gz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
mock_20220716-003416_d05c8ae_mock-install.tar.gz,mock,20220716-003416 d05c8ae,mock-install.tar.gz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gmsh_20220723-003126_d05c8ae_gmsh-install.tar.gz,gmsh,20220723-003126 d05c8ae,gmsh-install.tar.gz,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20
gmsh_20220716-003415_d05c8ae_gmsh-install.tar.gz,gmsh,20220716-003415 d05c8ae,gmsh-install.tar.gz,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
firedrake_20220723-003121_d05c8ae_real_firedrake-install.tar-d414be43f8e8601582d7bbbfb99fffed.gz,firedrake,20220723-003121 d05c8ae real,firedrake-install.tar-d414be43f8e8601582d7bbbfb99fffed.gz,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
firedrake_20220723-003121_d05c8ae_complex_firedrake-install.tar.gz,firedrake,20220723-003121 d05c8ae complex,firedrake-install.tar.gz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
firedrake_20220716-003425_d05c8ae_complex_firedrake-install.tar.gz,firedrake,20220716-003425 d05c8ae complex,firedrake-install.tar.gz,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
firedrake_20220716-003419_d05c8ae_real_firedrake-install.tar.gz,firedrake,20220716-003419 d05c8ae real,firedrake-install.tar.gz,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
